H,R,T
disease-0270,associate,small_molecule-03403
disease-0270,associate,small_molecule-10684
disease-0270,cause,disease-2005
disease-0270,cause,drug-00070
disease-0270,cause,drug-00503
disease-0270,cause,gene-00175
disease-0270,cause,gene-00745
disease-0270,cause,gene-01276
disease-0270,cause,gene-01659
disease-0270,cause,gene-05029
disease-0270,cause,gene-05627
disease-0270,cause,gene-06684
disease-0270,cause,gene-07657
disease-0270,cause,gene-08196
disease-0270,cause,gene-09014
disease-0270,cause,gene-16947
disease-0270,cause,hpo-12975
disease-0270,cause,small_molecule-42530
disease-0270,change,gene-09014
disease-0270,confer,small_molecule-18491
disease-0270,consist,gene-00520
disease-0270,consist,gene-05264
disease-0270,consist,small_molecule-06988
disease-0270,contain,gene-01664
disease-0270,demonstr,gene-01565
disease-0270,depend,gene-00175
disease-0270,depend,gene-07474
disease-0270,depend,small_molecule-11323
disease-0270,detect,drug-00503
disease-0270,detect,gene-06559
disease-0270,detect,small_molecule-11323
disease-0270,determin,gene-03425
disease-0270,enhance,gene-00773
disease-0270,enhance,gene-04536
disease-0270,expression,disease-4103
disease-0270,expression,drug-00632
disease-0270,expression,drug-00663
disease-0270,expression,gene-01004
disease-0270,expression,gene-01008
disease-0270,expression,gene-01681
disease-0270,expression,gene-02581
disease-0270,expression,gene-03425
disease-0270,expression,gene-03470
disease-0270,expression,gene-03472
disease-0270,expression,gene-04242
disease-0270,expression,gene-04317
disease-0270,expression,gene-04552
disease-0270,expression,gene-04725
disease-0270,expression,gene-04829
disease-0270,expression,gene-05033
disease-0270,expression,gene-05131
disease-0270,expression,gene-05999
disease-0270,expression,gene-06046
disease-0270,expression,gene-06369
disease-0270,expression,gene-08208
disease-0270,expression,gene-09934
disease-0270,expression,gene-10367
disease-0270,expression,gene-11167
disease-0270,expression,gene-12885
disease-0270,expression,gene-13019
disease-0270,expression,gene-17080
disease-0270,expression,gene-21954
disease-0270,expression,gene-22382
disease-0270,expression,gene-24135
disease-0270,expression,hpo-00142
disease-0270,expression,hpo-12686
disease-0270,expression,protein-03002
disease-0270,expression,protein-08420
disease-0270,expression,small_molecule-19217
disease-0270,found,gene-01002
disease-0270,found,gene-01659
disease-0270,found,gene-08520
disease-0270,gene,gene-02743
disease-0270,identifi,gene-15791
disease-0270,identifi,hpo-09985
disease-0270,identifi,hpo-13340
disease-0270,increase,gene-00553
disease-0270,increase,gene-01659
disease-0270,increase,gene-05345
disease-0270,increase,gene-05736
disease-0270,increase,hpo-13581
disease-0270,increase,small_molecule-07326
disease-0270,inhibit,drug-05721
disease-0270,inhibit,gene-01565
disease-0270,inhibit,gene-01611
disease-0270,inhibit,gene-01659
disease-0270,inhibit,gene-01819
disease-0270,inhibit,gene-03014
disease-0270,inhibit,gene-03411
disease-0270,inhibit,gene-04718
disease-0270,inhibit,gene-05850
disease-0270,inhibit,gene-06330
disease-0270,inhibit,gene-13518
disease-0270,inhibit,hpo-13648
disease-0270,inhibit,protein-03198
disease-0270,inhibit,small_molecule-03598
disease-0270,interact,gene-01717
disease-0270,marker,gene-02581
disease-0270,marker,gene-09507
disease-0270,marker,hpo-12684
disease-0270,mutate,gene-00555
disease-0270,phosphorylation,gene-04616
disease-0270,prevent,gene-04551
disease-0270,produce,drug-05064
disease-0270,provid,gene-05937
disease-0270,reduce,drug-00632
disease-0270,reduce,gene-03295
disease-0270,reduce,gene-05345
disease-0270,reduce,gene-05399
disease-0270,reduce,gene-14231
disease-0270,reduce,gene-24100
disease-0270,reduce,small_molecule-24438
disease-0270,reduce,small_molecule-42530
disease-0270,regulate,gene-00324
disease-0270,regulate,gene-00704
disease-0270,regulate,gene-00709
disease-0270,regulate,gene-00745
disease-0270,regulate,gene-00888
disease-0270,regulate,gene-02203
disease-0270,regulate,gene-02204
disease-0270,regulate,gene-03476
disease-0270,regulate,gene-03765
disease-0270,regulate,gene-04966
disease-0270,regulate,gene-05062
disease-0270,regulate,gene-05712
disease-0270,regulate,gene-05850
disease-0270,regulate,gene-11059
disease-0270,regulate,gene-13721
disease-0270,regulate,small_molecule-11323
disease-0270,require,hpo-13129
disease-0270,response,drug-09939
disease-0270,response,gene-01816
disease-0270,risk,disease-0272
disease-0270,risk,disease-2005
disease-0270,risk,small_molecule-08347
disease-0270,risk,small_molecule-21291
disease-0270,risk,small_molecule-52726
disease-0270,serve,gene-01659
disease-0270,show,gene-03472
disease-0270,show,gene-03476
disease-0270,show,gene-04966
disease-0270,show,gene-13282
disease-0270,show,hpo-07306
disease-0270,signal,gene-04423
disease-0270,stimul,small_molecule-18664
disease-0270,studi,gene-01681
disease-0270,studi,hpo-10098
disease-0270,transloc,gene-01074
disease-0270,transloc,gene-03745
disease-0270,transloc,gene-05124
disease-0270,transloc,gene-05850
disease-0270,transloc,gene-09411
disease-0270,treat,drug-00308
disease-0270,treat,drug-00798
disease-0270,treat,drug-01049
disease-0270,treat,drug-04677
disease-0270,treat,gene-00589
disease-0270,treat,gene-02878
disease-0270,treat,gene-03442
disease-0270,treat,small_molecule-01984
disease-0270,treat,small_molecule-20489
disease-0271,activate,gene-01565
disease-0271,affect,gene-00324
disease-0271,affect,gene-24811
disease-0271,analyz,small_molecule-23759
disease-0271,associate,gene-00040
disease-0271,associate,gene-00175
disease-0271,associate,gene-01276
disease-0271,associate,gene-03428
disease-0271,associate,gene-04536
disease-0271,associate,gene-05191
disease-0271,associate,gene-05736
disease-0271,associate,gene-13341
disease-0271,associate,hpo-04730
disease-0271,associate,hpo-06472
disease-0271,associate,hpo-12675
disease-0271,associate,hpo-13043
disease-0271,associate,small_molecule-11583
disease-0271,bind,gene-05736
disease-0271,bind,gene-13867
disease-0271,cause,disease-2005
disease-0271,cause,gene-03451
disease-0271,cause,gene-03522
disease-0271,cause,gene-05958
disease-0271,cause,gene-06015
disease-0271,cause,gene-11332
disease-0271,cause,hpo-05462
disease-0271,change,gene-01565
disease-0271,change,gene-01659
disease-0271,change,gene-03118
disease-0271,conside,hpo-09983
disease-0271,conside,hpo-13319
disease-0271,conside,protein-07532
disease-0271,demonstr,drug-00002
disease-0271,demonstr,gene-24138
disease-0271,detect,gene-02721
disease-0271,determin,gene-03297
disease-0271,determin,gene-04174
disease-0271,develop,drug-05064
disease-0271,develop,gene-03522
disease-0271,differenti,drug-00002
disease-0271,differenti,gene-02872
disease-0271,differenti,gene-25225
disease-0271,encode,gene-01329
disease-0271,exist,drug-05195
disease-0271,expression,drug-00308
disease-0271,expression,drug-05064
disease-0271,expression,gene-01329
disease-0271,expression,gene-06213
disease-0271,expression,gene-09013
disease-0271,expression,gene-09136
disease-0271,expression,gene-17258
disease-0271,gene,gene-12225
disease-0271,gene,small_molecule-08347
disease-0271,gene,small_molecule-35284
disease-0271,have,drug-00308
disease-0271,have,gene-04174
disease-0271,have,gene-05736
disease-0271,have,gene-16391
disease-0271,identifi,small_molecule-02641
disease-0271,inhibit,gene-01645
disease-0271,inhibit,gene-03295
disease-0271,inhibit,gene-03470
disease-0271,inhibit,gene-03627
disease-0271,inhibit,gene-11589
disease-0271,inhibit,gene-13585
disease-0271,inhibit,mirna-0310
disease-0271,marker,gene-01565
disease-0271,marker,gene-01659
disease-0271,marker,gene-05287
disease-0271,mutate,drug-12873
disease-0271,mutate,gene-03118
disease-0271,mutate,gene-39021
disease-0271,observe,disease-2005
disease-0271,observe,gene-04207
disease-0271,observe,hpo-13319
disease-0271,predict,gene-03118
disease-0271,provid,hpo-13631
disease-0271,regulate,gene-03979
disease-0271,regulate,gene-05029
disease-0271,regulate,gene-26498
disease-0271,require,small_molecule-52726
disease-0271,response,drug-00002
disease-0271,reverse,small_molecule-21261
disease-0271,risk,disease-2005
disease-0271,risk,hpo-13581
disease-0271,risk,small_molecule-08347
disease-0271,serve,gene-09325
disease-0271,show,disease-2005
disease-0271,show,drug-00470
disease-0271,show,drug-13618
disease-0271,show,gene-02818
disease-0271,show,gene-02872
disease-0271,show,gene-03411
disease-0271,show,gene-17090
disease-0271,show,small_molecule-35655
disease-0271,transloc,gene-00554
disease-0271,transloc,gene-03118
disease-0271,treat,drug-00002
disease-0271,treat,drug-00742
disease-0271,treat,drug-01213
disease-0271,treat,small_molecule-36011
disease-0271,treat,small_molecule-54706
disease-0272,act,gene-01438
disease-0272,act,gene-01892
disease-0272,activate,gene-00175
disease-0272,affect,drug-00388
disease-0272,affect,drug-00503
disease-0272,affect,drug-00984
disease-0272,affect,small_molecule-16674
disease-0272,associate,drug-00388
disease-0272,associate,drug-00503
disease-0272,associate,gene-02816
disease-0272,associate,gene-02895
disease-0272,associate,gene-02896
disease-0272,associate,gene-03941
disease-0272,associate,gene-04064
disease-0272,associate,gene-05029
disease-0272,associate,gene-05736
disease-0272,associate,gene-06139
disease-0272,associate,hpo-09639
disease-0272,associate,small_molecule-05662
disease-0272,cause,gene-00486
disease-0272,cause,gene-02566
disease-0272,cause,gene-04010
disease-0272,cause,gene-04438
disease-0272,cause,gene-04536
disease-0272,cause,gene-04555
disease-0272,cause,gene-05736
disease-0272,cause,gene-08278
disease-0272,cause,gene-25315
disease-0272,cause,hpo-04730
disease-0272,cause,small_molecule-05662
disease-0272,cause,small_molecule-32027
disease-0272,contain,disease-2005
disease-0272,contain,small_molecule-11265
disease-0272,demonstr,gene-09609
disease-0272,depend,small_molecule-05128
disease-0272,detect,small_molecule-53527
disease-0272,develop,gene-01850
disease-0272,develop,gene-09545
disease-0272,differenti,gene-05736
disease-0272,evalu,gene-01826
disease-0272,expression,gene-00823
disease-0272,expression,gene-05947
disease-0272,expression,gene-08775
disease-0272,expression,gene-09432
disease-0272,expression,gene-16588
disease-0272,expression,gene-24105
disease-0272,expression,small_molecule-04776
disease-0272,found,drug-00388
disease-0272,found,gene-06809
disease-0272,found,protein-08664
disease-0272,function,gene-00175
disease-0272,gene,gene-05237
disease-0272,gene,hpo-13340
disease-0272,identifi,gene-24078
disease-0272,increase,small_molecule-05622
disease-0272,inhibit,disease-2005
disease-0272,inhibit,drug-00308
disease-0272,inhibit,gene-00175
disease-0272,inhibit,gene-01438
disease-0272,inhibit,gene-02889
disease-0272,inhibit,gene-03472
disease-0272,inhibit,gene-05399
disease-0272,inhibit,gene-05958
disease-0272,inhibit,gene-24053
disease-0272,inhibit,hpo-00350
disease-0272,interact,gene-00159
disease-0272,maintain,gene-02816
disease-0272,maintain,small_molecule-05068
disease-0272,maintain,small_molecule-17258
disease-0272,marker,hpo-03947
disease-0272,mutate,gene-05736
disease-0272,occur,gene-05662
disease-0272,occur,gene-05958
disease-0272,potenti,gene-03627
disease-0272,reduce,small_molecule-56954
disease-0272,regulate,gene-00823
disease-0272,regulate,gene-02816
disease-0272,regulate,gene-03468
disease-0272,regulate,gene-03472
disease-0272,regulate,gene-15647
disease-0272,regulate,gene-15648
disease-0272,regulate,gene-17331
disease-0272,show,disease-2005
disease-0272,show,gene-19731
disease-0272,stimul,gene-13428
disease-0272,studi,hpo-06488
disease-0272,treat,drug-00514
disease-0272,treat,gene-25315
disease-0279,cause,gene-02395
disease-0291,inhibit,gene-03384
disease-0310,increase,gene-05850
disease-0310,regulate,drug-00308
disease-0310,regulate,gene-06330
disease-0310,show,gene-05594
disease-0334,cause,gene-05114
disease-0334,cause,protein-06844
disease-0334,depend,gene-05708
disease-0334,mutate,gene-05114
disease-0334,treat,drug-00005
disease-0384,associate,gene-24053
disease-0384,expression,gene-02589
disease-0401,affect,drug-04571
disease-0401,cause,drug-04571
disease-0402,phosphorylation,disease-2005
disease-0484,affect,disease-2005
disease-0484,associate,disease-0270
disease-0484,associate,small_molecule-03598
disease-0484,inhibit,disease-0270
disease-0492,identifi,gene-11814
disease-0554,expression,gene-00853
disease-0554,expression,gene-01659
disease-0571,develop,hpo-13034
disease-0577,associate,disease-0270
disease-0577,associate,drug-10681
disease-0577,associate,hpo-13529
disease-0577,cause,hpo-08885
disease-0577,feature,hpo-05158
disease-0577,feature,hpo-05250
disease-0577,feature,hpo-06474
disease-0617,found,hpo-12675
disease-0617,inhibit,gene-00175
disease-0617,occur,hpo-13581
disease-0620,associate,disease-2005
disease-0620,inhibit,hpo-13631
disease-0649,associate,disease-1344
disease-0649,associate,hpo-06983
disease-0649,associate,hpo-06992
disease-0649,associate,hpo-07895
disease-0649,associate,hpo-08105
disease-0649,associate,hpo-09948
disease-0649,associate,hpo-09990
disease-0649,cause,gene-04392
disease-0649,cause,gene-19648
disease-0649,cause,hpo-08105
disease-0649,cause,hpo-09990
disease-0649,develop,disease-3921
disease-0649,develop,hpo-06983
disease-0649,develop,hpo-07641
disease-0649,encode,gene-15902
disease-0649,expression,gene-14790
disease-0649,feature,hpo-06983
disease-0649,feature,hpo-06984
disease-0649,feature,hpo-08105
disease-0649,feature,hpo-09948
disease-0649,feature,hpo-09989
disease-0649,feature,hpo-09990
disease-0649,interact,gene-19648
disease-0649,marker,small_molecule-01926
disease-0649,mutate,gene-00476
disease-0649,mutate,hpo-06983
disease-0649,mutate,hpo-06992
disease-0649,patholog,disease-1344
disease-0649,phosphorylation,gene-09372
disease-0649,regulate,gene-05418
disease-0649,regulate,small_molecule-11587
disease-0649,risk,hpo-06983
disease-0649,risk,hpo-06984
disease-0649,risk,hpo-09989
disease-0649,risk,hpo-09990
disease-0649,show,hpo-06984
disease-0649,show,hpo-08105
disease-0649,show,hpo-09990
disease-0698,activate,gene-03770
disease-0698,associate,gene-03770
disease-0698,associate,gene-06945
disease-0698,associate,hpo-04523
disease-0698,expression,hpo-00366
disease-0698,identifi,gene-00494
disease-0698,identifi,hpo-07322
disease-0698,identifi,hpo-13338
disease-0773,associate,hpo-09942
disease-0821,analyz,gene-05736
disease-0821,analyz,small_molecule-12556
disease-0821,associate,disease-0649
disease-0821,expression,drug-12785
disease-0821,treat,drug-01252
disease-0821,treat,small_molecule-15055
disease-0826,associate,gene-14711
disease-0826,associate,hpo-05158
disease-0826,studi,hpo-05158
disease-0869,gene,gene-15216
disease-0869,marker,disease-2005
disease-0869,regulate,small_molecule-02455
disease-0869,show,gene-02000
disease-0869,show,gene-07298
disease-0879,cause,gene-05399
disease-0880,associate,gene-08385
disease-0880,focus,gene-08385
disease-0880,focus,hpo-13610
disease-0880,regulate,gene-07336
disease-0931,affect,disease-2005
disease-0931,affect,hpo-09985
disease-0931,cause,disease-2005
disease-0931,cause,hpo-09985
disease-0931,enhance,hpo-09985
disease-0931,regulate,hpo-13631
disease-0951,show,hpo-05253
disease-0951,show,small_molecule-14271
disease-0962,develop,gene-00571
disease-0962,evalu,drug-08188
disease-0962,expression,gene-00394
disease-0962,expression,gene-03158
disease-0962,treat,drug-00470
disease-0962,treat,small_molecule-37984
disease-0962,treat,small_molecule-37989
disease-0969,associate,disease-0270
disease-0969,associate,gene-05736
disease-0969,determin,disease-2005
disease-0969,develop,disease-2005
disease-0969,feature,hpo-12684
disease-0969,feature,hpo-13034
disease-0969,identifi,gene-01659
disease-0969,mutate,gene-01659
disease-0969,mutate,gene-05736
disease-0969,observe,gene-05736
disease-0969,treat,drug-08068
disease-0984,marker,disease-2005
disease-1015,interact,disease-2005
disease-1028,increase,drug-00760
disease-1028,increase,gene-00199
disease-1032,transloc,gene-00554
disease-1032,transloc,gene-01565
disease-1032,transloc,gene-03855
disease-1035,develop,gene-02631
disease-1039,expression,gene-00725
disease-1047,affect,small_molecule-16742
disease-1047,associate,small_molecule-16742
disease-1047,cause,small_molecule-16742
disease-1047,increase,hpo-13130
disease-1047,marker,gene-00853
disease-1047,marker,hpo-13038
disease-1047,show,hpo-09937
disease-1047,show,hpo-13130
disease-1083,inhibit,gene-04725
disease-1083,phosphorylation,gene-04725
disease-1115,observe,disease-2005
disease-1115,treat,drug-10327
disease-1115,treat,small_molecule-25833
disease-1115,treat,small_molecule-27936
disease-1150,feature,gene-02830
disease-1155,expression,gene-24048
disease-1155,feature,hpo-07712
disease-1155,feature,hpo-09148
disease-1155,feature,hpo-13037
disease-1182,associate,gene-04577
disease-1182,associate,hpo-00345
disease-1182,associate,hpo-00361
disease-1182,feature,hpo-03461
disease-1182,feature,hpo-12601
disease-1182,risk,hpo-00348
disease-1182,risk,hpo-13550
disease-1244,marker,gene-05296
disease-1244,marker,hpo-13662
disease-1250,associate,gene-00175
disease-1250,associate,gene-03250
disease-1250,associate,gene-06956
disease-1250,associate,gene-07774
disease-1250,cause,small_molecule-31164
disease-1250,expression,gene-07033
disease-1250,feature,hpo-04477
disease-1250,have,gene-03770
disease-1250,marker,disease-2005
disease-1250,predict,drug-09919
disease-1250,provid,gene-01565
disease-1250,provid,small_molecule-18491
disease-1250,provid,small_molecule-36011
disease-1250,regulate,gene-16976
disease-1250,treat,small_molecule-07517
disease-1250,treat,small_molecule-11310
disease-1250,treat,small_molecule-12931
disease-1276,production,gene-03608
disease-1280,associate,disease-2005
disease-1280,associate,hpo-13593
disease-1280,detect,drug-08068
disease-1280,have,hpo-08098
disease-1280,risk,hpo-08098
disease-1280,treat,drug-00308
disease-1315,control,drug-00321
disease-1344,associate,disease-0649
disease-1344,cause,hpo-09944
disease-1344,risk,hpo-06983
disease-1345,associate,hpo-07771
disease-1345,feature,hpo-09060
disease-1348,phosphorylation,gene-16948
disease-1348,reverse,hpo-12684
disease-1360,occur,hpo-00365
disease-1366,associate,gene-05418
disease-1366,feature,hpo-04626
disease-1366,feature,hpo-04627
disease-1366,feature,small_molecule-06725
disease-1366,have,gene-05418
disease-1366,observe,disease-2005
disease-1366,observe,hpo-13648
disease-1402,analyz,gene-35045
disease-1402,associate,gene-05418
disease-1402,conside,hpo-04562
disease-1402,regulate,disease-0869
disease-1402,treat,drug-00431
disease-1402,treat,drug-01246
disease-1402,treat,small_molecule-18663
disease-1432,associate,disease-2005
disease-1432,associate,hpo-09980
disease-1432,cause,drug-10882
disease-1432,cause,gene-02878
disease-1432,cause,hpo-10187
disease-1432,cause,protein-04713
disease-1432,cause,small_molecule-25323
disease-1432,change,gene-05708
disease-1432,contain,gene-05708
disease-1432,demonstr,gene-02878
disease-1432,demonstr,gene-05736
disease-1432,demonstr,gene-08162
disease-1432,demonstr,hpo-00477
disease-1432,develop,disease-2005
disease-1432,expression,gene-02975
disease-1432,expression,gene-05736
disease-1432,feature,hpo-08953
disease-1432,have,disease-2005
disease-1432,increase,gene-02975
disease-1432,increase,gene-10104
disease-1432,marker,gene-00853
disease-1432,patholog,hpo-09953
disease-1432,reduce,drug-00281
disease-1432,reduce,gene-00853
disease-1432,regulate,gene-05327
disease-1432,regulate,gene-05708
disease-1432,risk,gene-05002
disease-1432,risk,hpo-08119
disease-1432,show,gene-11108
disease-1432,stimul,gene-05128
disease-1468,associate,gene-08187
disease-1468,associate,gene-24094
disease-1468,associate,hpo-00365
disease-1468,associate,hpo-06979
disease-1468,cause,gene-04536
disease-1468,cause,gene-06217
disease-1468,change,disease-2005
disease-1468,change,gene-03627
disease-1468,change,gene-06217
disease-1468,contain,gene-05736
disease-1468,differenti,gene-05736
disease-1468,expression,gene-00485
disease-1468,expression,gene-00844
disease-1468,expression,hpo-09983
disease-1468,found,hpo-12800
disease-1468,increase,disease-2005
disease-1468,increase,gene-04688
disease-1468,increase,gene-05736
disease-1468,inhibit,gene-02997
disease-1468,inhibit,gene-05154
disease-1468,inhibit,gene-05414
disease-1468,inhibit,gene-06038
disease-1468,inhibit,gene-07105
disease-1468,inhibit,hpo-09983
disease-1468,interact,gene-01507
disease-1468,interact,gene-03627
disease-1468,interact,gene-04659
disease-1468,interact,gene-07105
disease-1468,maintain,gene-05237
disease-1468,marker,disease-2005
disease-1468,marker,gene-24094
disease-1468,marker,gene-24114
disease-1468,marker,gene-24201
disease-1468,mutate,hpo-12768
disease-1468,mutate,hpo-13648
disease-1468,observe,disease-2005
disease-1468,observe,hpo-09983
disease-1468,occur,disease-2005
disease-1468,occur,hpo-09980
disease-1468,occur,hpo-13040
disease-1468,occur,hpo-13662
disease-1468,patholog,hpo-00359
disease-1468,reduce,gene-02997
disease-1468,regulate,disease-2005
disease-1468,regulate,gene-08187
disease-1468,require,gene-03665
disease-1472,affect,gene-05708
disease-1472,risk,disease-2005
disease-1472,risk,small_molecule-35207
disease-1488,activate,gene-02707
disease-1488,activate,gene-19339
disease-1488,associate,gene-13234
disease-1488,cause,gene-04942
disease-1488,cause,gene-07737
disease-1488,cause,gene-16611
disease-1488,expression,gene-02889
disease-1488,expression,gene-05708
disease-1488,maintain,hpo-13631
disease-1488,reduce,gene-04039
disease-1488,regulate,gene-06766
disease-1488,regulate,gene-15770
disease-1490,expression,gene-05127
disease-1503,associate,disease-2005
disease-1503,found,small_molecule-24530
disease-1503,gene,gene-05736
disease-1503,identifi,disease-2005
disease-1503,predict,small_molecule-08347
disease-1503,reduce,gene-05182
disease-1503,show,hpo-09564
disease-1581,regulate,hpo-13474
disease-1603,bind,disease-0271
disease-1636,mutate,gene-03118
disease-1654,associate,gene-05958
disease-1654,associate,hpo-09983
disease-1654,cause,gene-03981
disease-1654,risk,hpo-09983
disease-1663,associate,small_molecule-02463
disease-1663,cause,gene-02035
disease-1663,cause,gene-05736
disease-1663,phosphorylation,gene-05736
disease-1692,affect,hpo-10200
disease-1692,cause,disease-2005
disease-1692,cause,gene-03428
disease-1692,expression,gene-03428
disease-1692,increase,disease-2005
disease-1692,regulate,gene-03428
disease-1700,observe,hpo-13040
disease-1705,observe,hpo-00344
disease-1709,activate,gene-02000
disease-1709,associate,disease-4883
disease-1709,associate,gene-05816
disease-1709,cause,gene-02000
disease-1709,cause,gene-05816
disease-1709,cause,hpo-06747
disease-1709,cause,hpo-06750
disease-1709,cause,hpo-13006
disease-1709,cause,hpo-13573
disease-1709,demonstr,hpo-06979
disease-1709,inhibit,disease-2005
disease-1709,patholog,gene-05815
disease-1709,regulate,gene-01771
disease-1709,regulate,gene-02000
disease-1709,regulate,gene-05816
disease-1709,risk,disease-4883
disease-1709,show,hpo-06984
disease-1709,show,hpo-13648
disease-1765,show,hpo-12671
disease-1765,show,hpo-13040
disease-1777,affect,disease-2005
disease-1777,affect,gene-00824
disease-1777,associate,gene-05002
disease-1777,associate,gene-16094
disease-1777,associate,hpo-04562
disease-1777,cause,disease-6963
disease-1777,cause,gene-00485
disease-1777,cause,gene-04483
disease-1777,cause,gene-16094
disease-1777,cause,small_molecule-33600
disease-1777,conside,small_molecule-10578
disease-1777,expression,disease-2005
disease-1777,expression,gene-00451
disease-1777,expression,gene-03118
disease-1777,expression,gene-03472
disease-1777,expression,gene-19754
disease-1777,expression,gene-23998
disease-1777,expression,hpo-00344
disease-1777,expression,hpo-00350
disease-1777,expression,hpo-00355
disease-1777,expression,hpo-00356
disease-1777,expression,hpo-12671
disease-1777,identifi,disease-2005
disease-1777,identifi,hpo-00350
disease-1777,inhibit,gene-00824
disease-1777,inhibit,gene-03472
disease-1777,marker,gene-01106
disease-1777,marker,gene-06705
disease-1777,mutate,hpo-12671
disease-1777,observe,hpo-12671
disease-1777,reduce,disease-1047
disease-1777,reduce,hpo-12671
disease-1777,reduce,hpo-13129
disease-1777,regulate,disease-2005
disease-1777,regulate,gene-03472
disease-1777,show,gene-00868
disease-1779,develop,disease-3783
disease-1779,develop,hpo-12757
disease-1836,enhance,disease-0270
disease-1836,regulate,gene-01659
disease-1850,cause,gene-05858
disease-1850,cause,gene-05864
disease-1932,risk,disease-0271
disease-1932,risk,disease-2005
disease-1940,regulate,gene-03469
disease-1940,regulate,gene-03476
disease-1978,cause,hpo-13631
disease-1978,cause,small_molecule-36338
disease-1978,increase,hpo-13071
disease-1994,develop,disease-2160
disease-1994,develop,hpo-12635
disease-2005,abolish,small_molecule-07244
disease-2005,abolish,small_molecule-08346
disease-2005,abolish,small_molecule-51214
disease-2005,act,drug-00742
disease-2005,act,gene-03118
disease-2005,act,gene-06559
disease-2005,act,small_molecule-02463
disease-2005,act,small_molecule-06845
disease-2005,activate,gene-00175
disease-2005,activate,gene-01163
disease-2005,activate,gene-01565
disease-2005,activate,gene-03118
disease-2005,activate,gene-03765
disease-2005,activate,gene-03770
disease-2005,activate,gene-04178
disease-2005,activate,gene-04423
disease-2005,activate,gene-04536
disease-2005,activate,gene-04551
disease-2005,activate,gene-04725
disease-2005,activate,gene-05251
disease-2005,activate,gene-05399
disease-2005,activate,gene-05736
disease-2005,activate,gene-06313
disease-2005,activate,gene-08558
disease-2005,activate,small_molecule-10624
disease-2005,activate,small_molecule-11323
disease-2005,affect,disease-4933
disease-2005,affect,drug-00308
disease-2005,affect,drug-00503
disease-2005,affect,drug-09361
disease-2005,affect,gene-00245
disease-2005,affect,gene-00486
disease-2005,affect,gene-00850
disease-2005,affect,gene-00853
disease-2005,affect,gene-00943
disease-2005,affect,gene-01104
disease-2005,affect,gene-01258
disease-2005,affect,gene-01261
disease-2005,affect,gene-01565
disease-2005,affect,gene-02359
disease-2005,affect,gene-02390
disease-2005,affect,gene-03484
disease-2005,affect,gene-03820
disease-2005,affect,gene-04645
disease-2005,affect,gene-05306
disease-2005,affect,gene-05736
disease-2005,affect,gene-06388
disease-2005,affect,gene-06896
disease-2005,affect,gene-08817
disease-2005,affect,gene-13581
disease-2005,affect,gene-24143
disease-2005,affect,gene-24198
disease-2005,affect,hpo-13593
disease-2005,affect,protein-06107
disease-2005,affect,small_molecule-05736
disease-2005,affect,small_molecule-06847
disease-2005,affect,small_molecule-06848
disease-2005,affect,small_molecule-07517
disease-2005,affect,small_molecule-11265
disease-2005,affect,small_molecule-11583
disease-2005,affect,small_molecule-11591
disease-2005,affect,small_molecule-11694
disease-2005,affect,small_molecule-12198
disease-2005,affect,small_molecule-13681
disease-2005,affect,small_molecule-20934
disease-2005,analyz,disease-4933
disease-2005,analyz,drug-00503
disease-2005,analyz,gene-00763
