H,R,T
disease-1015,cause,phenotype-04039
disease-1015,cause,phenotype-04055
disease-1015,cause,phenotype-04198
disease-1015,cause,phenotype-12839
disease-1015,cause,protein-05257
disease-1015,risk,phenotype-03925
disease-1015,risk,phenotype-04055
disease-1015,risk,phenotype-12847
disease-1015,show,phenotype-06426
disease-1015,show,phenotype-13373
disease-1015,show,phenotype-13614
disease-1077,feature,phenotype-04972
disease-1077,feature,phenotype-13617
disease-1172,marker,phenotype-03925
disease-1182,associate,phenotype-03634
disease-1182,associate,protein-10144
disease-1182,change,gene-04577
disease-1182,feature,phenotype-03461
disease-1182,feature,phenotype-12601
disease-1182,mutate,gene-04577
disease-1182,particip,drug-01326
disease-1193,evalu,disease-1743
disease-1213,cause,phenotype-03632
disease-1214,cause,phenotype-02571
disease-1214,cause,phenotype-03244
disease-1214,cause,phenotype-03634
disease-1214,cause,small_molecule-05736
disease-1214,depend,gene-17155
disease-1214,maintain,gene-08417
disease-1214,maintain,gene-17155
disease-1214,marker,gene-09401
disease-1214,mutate,phenotype-02571
disease-1214,mutate,phenotype-03634
disease-1214,reduce,phenotype-03925
disease-1223,regulate,phenotype-13074
disease-1280,cause,gene-06891
disease-1280,contain,phenotype-00002
disease-1315,identifi,small_molecule-11587
disease-1348,associate,gene-04192
disease-1348,associate,gene-04193
disease-1348,associate,gene-07818
disease-1348,identifi,protein-12697
disease-1348,observe,gene-08824
disease-1383,associate,phenotype-03925
disease-1383,associate,phenotype-13303
disease-1383,increase,phenotype-04345
disease-1383,produce,phenotype-13280
disease-1386,feature,phenotype-09634
disease-1386,increase,small_molecule-04103
disease-1386,treat,small_molecule-14388
disease-1432,feature,phenotype-10187
disease-1488,cause,phenotype-03925
disease-1503,interact,gene-07561
disease-1577,cause,drug-02639
disease-1577,cause,drug-02760
disease-1583,affect,phenotype-03925
disease-1583,predict,phenotype-12857
disease-1594,associate,disease-1776
disease-1594,cause,phenotype-03925
disease-1626,associate,gene-00079
disease-1626,cause,phenotype-04184
disease-1626,cause,phenotype-07820
disease-1626,determin,phenotype-04186
disease-1626,mutate,gene-00079
disease-1626,show,phenotype-03925
disease-1626,show,phenotype-05585
disease-1636,treat,phenotype-04198
disease-1641,treat,phenotype-06158
disease-1641,treat,phenotype-13528
disease-1654,risk,drug-09508
disease-1654,risk,drug-09728
disease-1659,associate,gene-05849
disease-1659,associate,phenotype-03461
disease-1659,associate,phenotype-13349
disease-1659,cause,phenotype-05155
disease-1659,develop,phenotype-13277
disease-1659,feature,phenotype-03987
disease-1659,feature,phenotype-13162
disease-1664,associate,small_molecule-06275
disease-1705,cause,gene-12782
disease-1705,cause,phenotype-03461
disease-1705,cause,phenotype-09796
disease-1724,increase,phenotype-13647
disease-1737,develop,gene-03015
disease-1737,treat,small_molecule-45264
disease-1743,associate,disease-1503
disease-1765,develop,phenotype-03697
disease-1765,generate,gene-14722
disease-1776,abolish,gene-28973
disease-1776,cause,gene-28973
disease-1776,feature,disease-1594
disease-1776,feature,phenotype-04252
disease-1776,feature,phenotype-04295
disease-1776,feature,phenotype-09796
disease-1776,feature,phenotype-12906
disease-1776,feature,phenotype-13276
disease-1777,cause,disease-6963
disease-1777,cause,phenotype-13006
disease-1777,expression,phenotype-10098
disease-1777,expression,phenotype-12857
disease-1777,observe,phenotype-00043
disease-1780,cause,phenotype-06802
disease-1780,mutate,gene-06013
disease-1782,consist,phenotype-09880
disease-1782,consist,phenotype-12658
disease-1782,found,phenotype-03925
disease-1782,show,phenotype-03461
disease-1783,encode,gene-03173
disease-1825,show,phenotype-02714
disease-1825,show,phenotype-03632
disease-1825,show,phenotype-03634
disease-1850,develop,phenotype-13129
disease-1918,associate,phenotype-03925
disease-1918,associate,phenotype-12857
disease-1918,associate,phenotype-13528
disease-1918,encode,small_molecule-35265
disease-1918,treat,small_molecule-38696
disease-1919,detect,phenotype-03925
disease-1953,cause,phenotype-03910
disease-2077,affect,phenotype-12857
disease-2124,cause,phenotype-02695
disease-2124,prevent,phenotype-12855
disease-2125,activate,protein-10144
disease-2125,affect,phenotype-03634
disease-2125,affect,phenotype-09413
disease-2125,affect,phenotype-12637
disease-2125,associate,phenotype-12635
disease-2125,cause,phenotype-03461
disease-2125,cause,phenotype-09802
disease-2125,cause,phenotype-12658
disease-2125,consist,phenotype-01166
disease-2125,consist,phenotype-09814
disease-2125,consist,phenotype-12601
disease-2125,develop,phenotype-13648
disease-2125,feature,phenotype-00497
disease-2125,feature,phenotype-03461
disease-2125,feature,phenotype-04295
disease-2125,feature,phenotype-09796
disease-2125,feature,phenotype-12635
disease-2125,feature,phenotype-13146
disease-2125,mutate,gene-02667
disease-2125,particip,drug-01326
disease-2142,cause,phenotype-12940
disease-2160,activate,gene-01565
disease-2160,affect,gene-00892
disease-2160,cause,phenotype-12857
disease-2160,change,phenotype-12857
disease-2160,encode,gene-00892
disease-2160,feature,gene-09014
disease-2160,prevent,phenotype-12857
disease-2201,bind,gene-02938
disease-2201,bind,phenotype-12952
disease-2201,cause,gene-02938
disease-2201,cause,phenotype-05245
disease-2201,cause,phenotype-07332
disease-2201,demonstr,small_molecule-12347
disease-2208,affect,phenotype-03925
disease-2208,cause,gene-03173
disease-2218,cause,phenotype-03461
disease-2218,treat,drug-01025
disease-2245,associate,phenotype-03640
disease-2263,associate,phenotype-03485
disease-2263,feature,disease-4493
disease-2263,feature,phenotype-11816
disease-2270,mutate,gene-06310
disease-2270,show,phenotype-03925
disease-2321,contain,gene-00360
disease-2321,contain,phenotype-07953
disease-2321,contain,phenotype-12522
disease-2321,mutate,gene-00360
disease-2348,cause,gene-01929
disease-2348,cause,phenotype-03244
disease-2348,cause,phenotype-03925
disease-2348,encode,gene-01929
disease-2348,increase,gene-01929
disease-2348,increase,small_molecule-06226
disease-2348,mutate,gene-01929
disease-2374,regulate,small_molecule-36251
disease-2374,serve,phenotype-13631
disease-2395,cause,gene-02121
disease-2395,cause,phenotype-07326
disease-2395,cause,phenotype-12996
disease-2441,associate,phenotype-03987
disease-2441,associate,phenotype-12874
disease-2441,associate,phenotype-13542
disease-2466,feature,disease-4493
disease-2466,feature,phenotype-06417
disease-2468,affect,gene-04295
disease-2505,feature,phenotype-03451
disease-2505,feature,phenotype-03994
disease-2505,feature,phenotype-12452
disease-2505,feature,phenotype-12842
disease-2505,feature,phenotype-13482
disease-2518,bind,phenotype-09344
disease-2518,bind,phenotype-12952
disease-2518,bind,phenotype-13417
disease-2518,bind,phenotype-13480
disease-2532,have,drug-02412
disease-2574,treat,small_molecule-08566
disease-2578,feature,phenotype-01007
disease-2578,feature,phenotype-07452
disease-2578,feature,phenotype-09796
disease-2583,cause,phenotype-12857
disease-2583,cause,phenotype-13528
disease-2583,observe,phenotype-10098
disease-2612,expression,phenotype-12857
disease-2663,associate,phenotype-03987
disease-2663,associate,phenotype-12874
disease-2663,associate,phenotype-13542
disease-2671,associate,phenotype-13291
disease-2671,change,phenotype-11902
disease-2671,change,phenotype-13631
disease-2671,feature,phenotype-03214
disease-2671,feature,phenotype-13467
disease-2671,reduce,phenotype-13291
disease-2671,treat,small_molecule-07504
disease-2679,feature,disease-2676
disease-2679,feature,phenotype-09814
disease-2679,feature,phenotype-13387
disease-2762,cause,gene-00347
disease-2763,affect,disease-1398
disease-2763,affect,small_molecule-04975
disease-2763,contain,phenotype-00497
disease-2763,contain,phenotype-01404
disease-2763,contain,phenotype-01558
disease-2763,contain,phenotype-04970
disease-2763,contain,phenotype-05374
disease-2763,contain,phenotype-12450
disease-2763,contain,phenotype-12620
disease-2789,cause,phenotype-03925
disease-2794,expression,small_molecule-36254
disease-2820,associate,phenotype-07714
disease-2823,associate,gene-01340
disease-2823,associate,phenotype-06797
disease-2823,feature,phenotype-06797
disease-2823,mutate,gene-04577
disease-2823,mutate,phenotype-03891
disease-2823,treat,phenotype-02556
disease-2835,cause,disease-2832
disease-2835,cause,gene-06013
disease-2835,cause,gene-06198
disease-2835,feature,phenotype-13146
disease-2857,feature,drug-04295
disease-2857,feature,small_molecule-04812
disease-3004,cause,gene-05207
disease-3025,associate,phenotype-08953
disease-3037,cause,small_molecule-09026
disease-3037,feature,phenotype-03726
disease-3139,associate,phenotype-06376
disease-3139,associate,phenotype-12654
disease-3139,associate,phenotype-13074
disease-3139,expression,phenotype-06376
disease-3139,inhibit,phenotype-03634
disease-3139,inhibit,phenotype-03925
disease-3221,associate,drug-00745
disease-3221,associate,phenotype-07169
disease-3237,reduce,small_molecule-24878
disease-3279,show,phenotype-13514
disease-3281,cause,phenotype-10187
disease-3307,bind,phenotype-09344
disease-3307,bind,phenotype-09796
disease-3307,bind,phenotype-13417
disease-3307,bind,phenotype-13480
disease-3381,bind,phenotype-08178
disease-3381,cause,gene-01726
disease-3381,cause,phenotype-03630
disease-3381,cause,phenotype-03925
disease-3381,cause,phenotype-07326
disease-3381,contain,phenotype-03634
disease-3381,contain,phenotype-08247
disease-3381,expression,gene-03173
disease-3381,expression,phenotype-07326
disease-3381,feature,phenotype-03528
disease-3381,feature,phenotype-03634
disease-3381,feature,phenotype-08178
disease-3381,feature,phenotype-08240
disease-3381,feature,phenotype-08247
disease-3381,feature,phenotype-09796
disease-3381,mutate,gene-03173
disease-3381,produce,phenotype-03634
disease-3409,develop,phenotype-03214
disease-3409,develop,phenotype-03632
disease-3409,develop,phenotype-03925
disease-3409,develop,small_molecule-02847
disease-3409,mutate,disease-3797
disease-3449,cause,gene-01741
disease-3457,feature,phenotype-06797
disease-3648,associate,drug-00425
disease-3648,associate,small_molecule-06207
disease-3648,associate,small_molecule-27150
disease-3648,cause,drug-13765
disease-3648,cause,gene-02190
disease-3648,cause,gene-03816
disease-3648,cause,phenotype-03234
disease-3648,cause,phenotype-03244
disease-3648,cause,phenotype-07326
disease-3648,cause,phenotype-07804
disease-3648,depend,gene-02190
disease-3648,feature,phenotype-13006
disease-3648,feature,phenotype-13528
disease-3648,initi,phenotype-07326
disease-3662,associate,disease-1885
disease-3662,associate,phenotype-03630
disease-3662,associate,phenotype-03925
disease-3662,cause,gene-03909
disease-3662,cause,gene-05502
disease-3662,cause,gene-17937
disease-3662,cause,phenotype-03925
disease-3662,cause,small_molecule-03260
disease-3662,cause,small_molecule-47213
disease-3662,contain,drug-00093
disease-3662,contain,small_molecule-11333
disease-3662,feature,disease-1168
disease-3662,feature,phenotype-03632
disease-3662,feature,phenotype-06911
disease-3662,feature,phenotype-08247
disease-3662,feature,phenotype-12601
disease-3662,feature,phenotype-12617
disease-3662,feature,phenotype-12652
disease-3662,feature,phenotype-13447
disease-3662,feature,small_molecule-24938
disease-3662,show,gene-05502
disease-3662,show,phenotype-03630
disease-3662,show,phenotype-03632
disease-3662,show,phenotype-13447
disease-3681,change,phenotype-03634
disease-3681,change,phenotype-03925
disease-3681,demonstr,phenotype-03634
disease-3681,feature,phenotype-09802
disease-3705,show,phenotype-00269
disease-3705,show,phenotype-13146
disease-3763,feature,phenotype-06797
disease-3797,affect,phenotype-03925
disease-3797,associate,phenotype-03632
disease-3797,associate,phenotype-03891
disease-3797,associate,phenotype-12834
disease-3797,associate,phenotype-13301
disease-3797,cause,gene-01413
disease-3797,cause,phenotype-03925
disease-3797,cause,phenotype-08200
disease-3797,cause,phenotype-08310
disease-3797,cause,protein-04888
disease-3797,develop,phenotype-03925
disease-3797,develop,phenotype-12834
disease-3797,encode,protein-04888
disease-3797,expression,protein-04888
disease-3797,feature,phenotype-08335
disease-3797,have,phenotype-12834
disease-3797,produce,protein-04888
disease-3797,reduce,gene-05940
disease-3797,regulate,gene-05940
disease-3797,show,gene-01413
disease-3797,show,small_molecule-08654
disease-3797,treat,phenotype-03630
disease-3797,treat,small_molecule-06162
disease-3798,cause,gene-01608
disease-3843,cause,gene-03390
disease-3870,cause,disease-3449
disease-3908,associate,phenotype-13074
disease-3923,differenti,phenotype-02922
disease-3983,associate,gene-05951
disease-3983,cause,gene-05951
disease-4006,contain,phenotype-13244
disease-4006,contain,small_molecule-47205
disease-4109,associate,phenotype-01888
disease-4151,associate,phenotype-07538
disease-4151,associate,phenotype-08062
disease-4166,cause,phenotype-12834
disease-4188,affect,phenotype-09452
disease-4192,affect,protein-10999
disease-4254,observe,gene-04668
disease-4254,observe,gene-05348
disease-4258,activate,gene-03016
disease-4258,affect,phenotype-03925
disease-4258,affect,phenotype-12857
disease-4258,associate,gene-14891
disease-4258,associate,phenotype-13303
disease-4258,associate,small_molecule-12347
disease-4258,cause,gene-27665
disease-4258,cause,phenotype-03528
disease-4258,cause,phenotype-03925
disease-4258,cause,phenotype-04112
disease-4258,change,small_molecule-55008
disease-4258,develop,disease-0484
disease-4258,expression,gene-05952
disease-4258,expression,small_molecule-04807
disease-4258,gene,gene-00224
disease-4258,increase,phenotype-03925
disease-4258,produce,phenotype-03528
disease-4258,serve,phenotype-13074
disease-4258,treat,drug-06067
disease-4258,treat,small_molecule-01441
disease-4258,treat,small_molecule-35081
disease-4409,cause,phenotype-03925
disease-4409,feature,phenotype-08301
disease-4409,feature,phenotype-09060
disease-4409,feature,phenotype-13074
disease-4409,treat,gene-02117
disease-4436,associate,phenotype-04112
disease-4436,associate,small_molecule-11291
disease-4436,cause,phenotype-03646
disease-4436,found,small_molecule-11291
disease-4436,improve,disease-2468
disease-4436,potenti,phenotype-03925
disease-4436,treat,drug-01242
disease-4525,show,phenotype-13307
disease-4551,affect,phenotype-03528
disease-4551,predict,phenotype-03858
disease-4551,predict,phenotype-03925
disease-4551,predict,phenotype-13528
disease-4564,expression,gene-03375
disease-4564,increase,phenotype-03925
disease-4677,show,phenotype-10187
disease-4712,treat,phenotype-03925
disease-4715,cause,small_molecule-26020
disease-4748,associate,gene-01479
disease-4748,contain,phenotype-03642
disease-4748,contain,phenotype-03925
disease-4748,contain,phenotype-07538
disease-4770,cause,gene-07824
disease-4793,feature,phenotype-01166
disease-4793,feature,phenotype-04363
disease-4793,feature,phenotype-04382
disease-4843,gene,gene-05170
disease-4843,gene,gene-07443
disease-4933,risk,disease-1654
disease-4934,associate,phenotype-03680
disease-5039,regulate,phenotype-09693
disease-5240,associate,gene-05165
disease-5240,associate,phenotype-13074
disease-5361,contain,phenotype-06419
disease-5361,contain,phenotype-06514
disease-5385,cause,gene-01741
disease-5385,identifi,gene-01741
disease-5386,encode,protein-04208
disease-5399,associate,gene-05602
disease-5399,associate,gene-05605
disease-5399,develop,gene-01741
disease-5788,contain,phenotype-04295
disease-5788,contain,phenotype-09624
disease-5788,contain,phenotype-09814
disease-5788,contain,phenotype-12635
disease-5955,affect,phenotype-12834
disease-5955,affect,phenotype-13303
disease-5955,affect,phenotype-13631
disease-5955,cause,phenotype-03925
disease-5955,control,phenotype-03925
disease-5955,reduce,phenotype-03528
disease-5955,treat,phenotype-03925
disease-5955,use,phenotype-12855
disease-5955,use,phenotype-13528
disease-6180,change,phenotype-13157
disease-6180,change,phenotype-13399
disease-6411,have,phenotype-06497
disease-6572,associate,protein-07093
disease-6665,cause,gene-03042
disease-6814,cause,small_molecule-01190
disease-6814,cause,small_molecule-15348
disease-6814,improve,drug-01528
disease-6963,associate,small_molecule-06649
disease-6963,cause,gene-04919
disease-7143,associate,small_molecule-04973
disease-7143,marker,phenotype-04319
disease-7143,show,phenotype-03076
disease-7264,feature,gene-00634
disease-7264,feature,phenotype-04972
disease-7295,focus,drug-10679
disease-7295,focus,protein-10775
disease-7295,focus,small_molecule-12563
disease-8865,associate,phenotype-12834
disease-8865,cause,drug-01713
disease-8865,cause,phenotype-03528
disease-8865,cause,phenotype-03630
disease-8865,cause,phenotype-03925
disease-8865,cause,phenotype-04198
disease-8865,cause,phenotype-13528
disease-8865,cause,small_molecule-08566
disease-8865,increase,small_molecule-04103
disease-8865,inhibit,gene-04133
disease-8865,regulate,disease-0484
disease-8865,treat,drug-00380
drug-00005,act,small_molecule-53521
drug-00005,associate,phenotype-12857
drug-00009,associate,phenotype-03646
drug-00016,reduce,phenotype-03925
drug-00026,cause,phenotype-04141
drug-00028,affect,phenotype-12857
drug-00028,show,phenotype-03925
drug-00028,treat,phenotype-03549
drug-00047,marker,phenotype-03925
drug-00061,associate,phenotype-13006
drug-00065,activate,phenotype-08911
drug-00065,analyz,phenotype-08911
drug-00065,demonstr,phenotype-03925
drug-00065,demonstr,phenotype-13003
drug-00065,expression,phenotype-03925
drug-00065,expression,phenotype-08911
drug-00065,found,phenotype-08911
drug-00065,increase,phenotype-03925
drug-00069,act,gene-06273
drug-00069,phosphorylation,phenotype-12654
drug-00069,reduce,gene-02966
drug-00069,reduce,phenotype-05246
drug-00069,reduce,phenotype-13074
drug-00070,associate,phenotype-03632
drug-00070,associate,phenotype-03925
drug-00070,associate,phenotype-12684
drug-00070,cause,phenotype-03925
drug-00070,cause,phenotype-12684
drug-00070,improve,phenotype-12684
drug-00070,inhibit,phenotype-03925
drug-00070,risk,phenotype-03925
drug-00070,treat,disease-0270
drug-00070,treat,disease-6645
drug-00070,use,phenotype-12684
drug-00081,focus,gene-03195
drug-00086,cause,phenotype-03528
drug-00086,inhibit,phenotype-03925
drug-00086,inhibit,phenotype-04198
drug-00086,protect,phenotype-03925
drug-00086,reduce,phenotype-12834
drug-00093,activate,gene-00175
drug-00093,bind,gene-02513
drug-00093,reduce,phenotype-12407
drug-00093,reduce,phenotype-12857
drug-00093,stimul,gene-03472
drug-00095,interact,gene-00566
drug-00095,stimul,small_molecule-03565
drug-00097,treat,phenotype-13035
drug-00098,affect,small_molecule-09290
drug-00127,cause,phenotype-00016
drug-00128,develop,phenotype-05245
drug-00128,improve,small_molecule-02847
drug-00128,prevent,phenotype-12824
drug-00128,reduce,phenotype-13074
drug-00143,regulate,phenotype-13474
drug-00149,act,gene-00165
drug-00149,associate,gene-00165
drug-00149,increase,phenotype-03925
drug-00149,prevent,gene-00165
drug-00149,prevent,phenotype-03925
drug-00150,reduce,phenotype-12834
drug-00150,reduce,phenotype-13528
drug-00150,risk,drug-00160
drug-00151,prevent,phenotype-03528
drug-00151,prevent,phenotype-03925
drug-00151,protect,phenotype-13581
drug-00152,prevent,phenotype-03634
drug-00153,associate,phenotype-03262
drug-00153,cause,phenotype-12857
drug-00153,prevent,phenotype-03925
drug-00155,associate,phenotype-03925
drug-00155,associate,phenotype-13354
drug-00162,maintain,phenotype-02571
drug-00162,prevent,phenotype-03549
drug-00162,production,phenotype-03925
drug-00162,reduce,small_molecule-06110
drug-00164,cause,phenotype-06797
drug-00164,show,phenotype-13074
drug-00166,affect,disease-0411
drug-00166,affect,phenotype-03528
drug-00166,affect,phenotype-03925
drug-00166,associate,phenotype-03528
drug-00168,affect,phenotype-12857
drug-00168,cause,phenotype-12857
drug-00168,expression,phenotype-03528
drug-00168,inhibit,phenotype-03549
drug-00168,reduce,phenotype-03549
drug-00168,reduce,phenotype-12824
drug-00168,reduce,phenotype-12942
drug-00169,affect,phenotype-03925
drug-00169,reduce,phenotype-03632
drug-00175,show,gene-12195
drug-00175,show,phenotype-03764
drug-00186,change,phenotype-03925
drug-00186,improve,phenotype-03925
drug-00188,reduce,phenotype-13073
drug-00192,affect,phenotype-12817
drug-00192,reduce,phenotype-12817
drug-00192,risk,phenotype-12817
drug-00194,inhibit,disease-3797
drug-00194,inhibit,phenotype-03528
drug-00194,prevent,phenotype-03549
drug-00194,reduce,small_molecule-35204
drug-00194,treat,phenotype-03751
drug-00194,treat,phenotype-08279
drug-00194,treat,phenotype-12834
drug-00194,treat,phenotype-12950
drug-00194,treat,phenotype-13188
drug-00195,increase,phenotype-03925
drug-00196,cause,phenotype-03925
drug-00205,affect,phenotype-03632
drug-00205,affect,phenotype-13303
drug-00205,protect,phenotype-03632
drug-00226,affect,phenotype-03925
drug-00226,affect,phenotype-13631
drug-00226,change,phenotype-13631
drug-00234,bind,phenotype-03925
drug-00245,affect,phenotype-03925
drug-00245,protect,phenotype-03925
drug-00245,reverse,phenotype-09470
drug-00255,associate,phenotype-03925
drug-00255,bind,phenotype-03925
drug-00255,change,phenotype-03925
drug-00255,expression,phenotype-03747
drug-00255,function,phenotype-03751
drug-00255,prevent,phenotype-12821
drug-00255,protect,phenotype-10127
drug-00255,reduce,small_molecule-05223
drug-00255,show,small_molecule-02847
drug-00255,treat,phenotype-03925
drug-00255,treat,phenotype-13303
drug-00263,inhibit,phenotype-12817
drug-00266,cause,phenotype-03747
drug-00266,reduce,phenotype-13128
drug-00266,treat,phenotype-03775
drug-00270,expression,phenotype-03925
drug-00281,cause,small_molecule-09030
drug-00286,change,phenotype-04141
drug-00286,change,phenotype-12857
drug-00286,reduce,phenotype-03528
drug-00286,reduce,phenotype-12857
drug-00304,expression,phenotype-03897
drug-00319,prevent,phenotype-08866
drug-00321,activate,phenotype-03630
drug-00321,cause,phenotype-08875
drug-00321,cause,phenotype-13074
drug-00321,improve,phenotype-03925
drug-00321,improve,phenotype-12857
drug-00321,prevent,phenotype-03925
drug-00321,protect,phenotype-03925
drug-00321,reduce,phenotype-03925
drug-00321,reduce,phenotype-04112
drug-00321,reduce,phenotype-12857
drug-00321,reduce,phenotype-12986
drug-00321,reduce,phenotype-13631
drug-00321,regulate,phenotype-03925
drug-00321,treat,phenotype-03925
drug-00321,treat,phenotype-12986
drug-00321,treat,phenotype-13105
drug-00328,change,small_molecule-09290
drug-00333,improve,phenotype-06797
drug-00335,cause,phenotype-09128
drug-00335,consist,small_molecule-12461
drug-00335,inhibit,drug-00194
drug-00335,inhibit,drug-00807
drug-00353,associate,disease-1503
drug-00353,cause,phenotype-13301
drug-00358,activate,phenotype-09693
drug-00358,affect,phenotype-03632
drug-00358,affect,phenotype-13474
drug-00358,associate,phenotype-03528
drug-00358,produce,phenotype-03925
drug-00370,reduce,phenotype-03925
drug-00371,affect,phenotype-03925
drug-00371,affect,phenotype-13303
drug-00371,inhibit,phenotype-00016
drug-00371,inhibit,phenotype-03528
drug-00371,reverse,phenotype-13303
drug-00378,inhibit,phenotype-03528
drug-00378,regulate,phenotype-03634
drug-00380,identifi,disease-1028
drug-00380,inhibit,phenotype-09983
drug-00380,inhibit,phenotype-10098
drug-00380,maintain,phenotype-03925
drug-00380,regulate,phenotype-10098
drug-00380,treat,phenotype-03925
drug-00380,use,phenotype-03925
drug-00402,expression,phenotype-12952
drug-00402,increase,phenotype-12952
drug-00402,observe,phenotype-12952
drug-00402,serve,phenotype-03118
drug-00402,serve,phenotype-13074
drug-00402,treat,phenotype-03925
drug-00402,treat,phenotype-05246
drug-00402,treat,phenotype-12952
drug-00411,affect,phenotype-06802
drug-00411,expression,phenotype-03925
drug-00411,improve,phenotype-03925
drug-00411,reduce,phenotype-13631
drug-00411,transloc,phenotype-03634
drug-00411,treat,disease-3797
drug-00411,treat,phenotype-03925
drug-00411,treat,phenotype-13303
drug-00418,bind,phenotype-12642
drug-00418,bind,phenotype-13265
drug-00418,cause,phenotype-05245
drug-00418,inhibit,phenotype-05246
drug-00425,associate,phenotype-13303
drug-00425,cause,phenotype-03925
drug-00425,cause,phenotype-12857
drug-00425,cause,small_molecule-53521
drug-00425,production,phenotype-03925
drug-00427,cause,small_molecule-09290
