H,R,T
gene-43805,regulate,gene-05958
gene-43822,reverse,gene-34220
gene-43832,response,hpo-04112
hpo-00002,associate,gene-06891
hpo-00002,contain,small_molecule-08869
hpo-00016,activate,gene-05401
hpo-00016,activate,gene-13424
hpo-00016,activate,gene-16948
hpo-00016,affect,hpo-03925
hpo-00016,associate,hpo-03646
hpo-00016,cause,gene-01531
hpo-00016,cause,gene-04314
hpo-00016,cause,gene-04536
hpo-00016,cause,gene-06883
hpo-00016,cause,hpo-03925
hpo-00016,cause,protein-03073
hpo-00016,depend,gene-06883
hpo-00016,expression,gene-00699
hpo-00016,inhibit,drug-00472
hpo-00016,inhibit,small_molecule-06845
hpo-00016,interact,gene-02033
hpo-00016,interact,gene-07745
hpo-00016,protect,gene-04536
hpo-00016,reduce,gene-03770
hpo-00016,reduce,small_molecule-02641
hpo-00016,regulate,gene-03014
hpo-00016,regulate,gene-03391
hpo-00016,regulate,gene-07745
hpo-00016,show,hpo-03925
hpo-00016,treat,gene-01531
hpo-00043,reverse,small_molecule-48193
hpo-00106,cause,hpo-03925
hpo-00121,associate,hpo-03925
hpo-00121,associate,hpo-04283
hpo-00121,associate,hpo-12834
hpo-00121,cause,drug-01528
hpo-00121,cause,hpo-03528
hpo-00121,cause,hpo-03925
hpo-00121,cause,hpo-10098
hpo-00121,cause,hpo-10147
hpo-00121,increase,hpo-10098
hpo-00121,increase,hpo-10147
hpo-00121,increase,small_molecule-10051
hpo-00123,affect,small_molecule-04858
hpo-00123,associate,gene-04850
hpo-00123,associate,gene-04926
hpo-00123,feature,hpo-00098
hpo-00123,feature,hpo-00101
hpo-00123,feature,hpo-00125
hpo-00123,feature,hpo-00128
hpo-00125,associate,hpo-03528
hpo-00125,associate,hpo-06802
hpo-00125,associate,small_molecule-15348
hpo-00125,improve,drug-00571
hpo-00128,maintain,small_molecule-06649
hpo-00128,reduce,small_molecule-06649
hpo-00179,cause,gene-16765
hpo-00243,affect,small_molecule-01002
hpo-00243,cause,hpo-00236
hpo-00257,show,hpo-07006
hpo-00272,develop,gene-01741
hpo-00272,develop,hpo-03234
hpo-00272,expression,gene-00299
hpo-00272,show,gene-00298
hpo-00281,associate,gene-01718
hpo-00281,associate,hpo-00236
hpo-00281,patholog,small_molecule-53285
hpo-00281,show,hpo-04999
hpo-00338,risk,hpo-12851
hpo-00338,show,hpo-00281
hpo-00350,observe,disease-4610
hpo-00350,observe,small_molecule-04779
hpo-00367,abolish,gene-03010
hpo-00376,cause,gene-04919
hpo-00376,develop,hpo-00272
hpo-00396,reduce,small_molecule-00281
hpo-00411,associate,hpo-00399
hpo-00411,associate,hpo-08360
hpo-00411,associate,hpo-13074
hpo-00412,associate,hpo-03632
hpo-00423,show,hpo-08739
hpo-00434,associate,hpo-10187
hpo-00434,associate,hpo-13620
hpo-00465,associate,hpo-03925
hpo-00465,associate,hpo-09942
hpo-00473,show,hpo-03461
hpo-00473,show,hpo-09798
hpo-00473,show,hpo-12761
hpo-00473,show,hpo-13400
hpo-00477,cause,hpo-03925
hpo-00477,expression,gene-01331
hpo-00481,contain,hpo-12635
hpo-00497,cause,hpo-09802
hpo-00512,show,hpo-03770
hpo-00581,contain,hpo-00472
hpo-00584,contain,hpo-01000
hpo-00584,contain,hpo-01037
hpo-00584,show,hpo-01408
hpo-00584,show,hpo-12635
hpo-00783,associate,hpo-04495
hpo-00783,associate,hpo-13482
hpo-01037,contain,hpo-01000
hpo-01150,contain,hpo-01042
hpo-01150,contain,hpo-01324
hpo-01150,contain,hpo-10285
hpo-01151,feature,hpo-04970
hpo-01151,feature,hpo-10854
hpo-01274,risk,disease-1743
hpo-01408,show,disease-2245
hpo-01408,show,hpo-03640
hpo-01422,contain,hpo-00472
hpo-01842,contain,hpo-00472
hpo-02534,show,hpo-03461
hpo-02534,show,hpo-09798
hpo-02534,show,hpo-12761
hpo-02534,show,hpo-13400
hpo-02537,cause,hpo-03630
hpo-02537,occur,hpo-13647
hpo-02547,exist,hpo-08664
hpo-02556,develop,hpo-03925
hpo-02556,inhibit,hpo-03858
hpo-02556,patholog,hpo-03925
hpo-02556,prevent,hpo-03858
hpo-02556,risk,hpo-03925
hpo-02571,activate,gene-00473
hpo-02571,activate,gene-00476
hpo-02571,associate,hpo-03925
hpo-02571,associate,hpo-04141
hpo-02571,associate,hpo-13303
hpo-02571,associate,small_molecule-56396
hpo-02571,cause,gene-00578
hpo-02571,cause,gene-07880
hpo-02571,cause,hpo-03719
hpo-02571,cause,hpo-03925
hpo-02571,cause,hpo-04141
hpo-02571,cause,hpo-05246
hpo-02571,cause,hpo-09089
hpo-02571,cause,hpo-13074
hpo-02571,cause,hpo-13319
hpo-02571,cause,hpo-13647
hpo-02571,cause,small_molecule-06845
hpo-02571,cause,small_molecule-11291
hpo-02571,demonstr,small_molecule-06649
hpo-02571,develop,small_molecule-14943
hpo-02571,expression,gene-05287
hpo-02571,expression,protein-05566
hpo-02571,increase,drug-09951
hpo-02571,increase,protein-03358
hpo-02571,occur,hpo-03925
hpo-02571,patholog,hpo-03925
hpo-02571,protect,gene-08552
hpo-02571,regulate,drug-01120
hpo-02571,regulate,gene-08552
hpo-02676,mutate,gene-11093
hpo-02676,show,hpo-08279
hpo-02676,show,hpo-12635
hpo-02713,activate,gene-00153
hpo-02713,activate,hpo-05246
hpo-02713,activate,small_molecule-06845
hpo-02713,cause,small_molecule-11304
hpo-02713,stimul,small_molecule-11304
hpo-02716,risk,hpo-12755
hpo-02716,risk,hpo-13341
hpo-02723,affect,gene-05353
hpo-02723,affect,hpo-03528
hpo-02723,affect,small_molecule-16163
hpo-02723,associate,disease-8865
hpo-02723,associate,hpo-12952
hpo-02723,cause,gene-00133
hpo-02723,cause,small_molecule-16163
hpo-02723,change,small_molecule-16163
hpo-02723,increase,gene-02966
hpo-02723,production,drug-00425
hpo-02723,regulate,gene-00159
hpo-02723,regulate,hpo-07332
hpo-02723,regulate,small_molecule-01258
hpo-03002,associate,hpo-08240
hpo-03025,show,hpo-13275
hpo-03025,use,hpo-03925
hpo-03029,inhibit,gene-03496
hpo-03029,risk,gene-11313
hpo-03038,feature,hpo-03461
hpo-03038,feature,hpo-11844
hpo-03056,improve,hpo-13003
hpo-03127,cause,small_molecule-08470
hpo-03127,increase,small_molecule-08470
hpo-03165,cause,gene-02938
hpo-03165,cause,gene-12862
hpo-03165,reduce,drug-01120
hpo-03165,reduce,hpo-00003
hpo-03186,occur,hpo-06796
hpo-03214,cause,hpo-03897
hpo-03214,change,hpo-11902
hpo-03214,change,hpo-13631
hpo-03214,contain,hpo-07157
hpo-03214,exist,gene-00651
hpo-03214,function,disease-0279
hpo-03214,mutate,gene-03042
hpo-03214,occur,hpo-03186
hpo-03214,occur,hpo-06796
hpo-03214,occur,hpo-13474
hpo-03234,activate,gene-00699
hpo-03234,activate,gene-05287
hpo-03234,activate,gene-28549
hpo-03234,cause,hpo-05278
hpo-03234,cause,hpo-07129
hpo-03234,cause,hpo-07714
hpo-03234,cause,small_molecule-18663
hpo-03234,cause,small_molecule-51485
hpo-03234,develop,hpo-00272
hpo-03234,exist,small_molecule-36300
hpo-03234,production,hpo-06318
hpo-03234,production,hpo-13303
hpo-03244,abolish,small_molecule-02452
hpo-03244,associate,gene-11949
hpo-03244,cause,gene-00347
hpo-03244,cause,gene-01858
hpo-03244,cause,hpo-02571
hpo-03244,cause,hpo-03632
hpo-03244,cause,hpo-03634
hpo-03244,cause,hpo-13301
hpo-03244,cause,small_molecule-05736
hpo-03244,cause,small_molecule-06207
hpo-03244,cause,small_molecule-08654
hpo-03244,encode,gene-09683
hpo-03244,inhibit,drug-13065
hpo-03244,show,hpo-06788
hpo-03262,cause,hpo-03925
hpo-03262,conside,hpo-03925
hpo-03262,contain,hpo-03925
hpo-03262,differenti,hpo-03925
hpo-03262,exist,hpo-03264
hpo-03262,feature,gene-05839
hpo-03262,occur,gene-05839
hpo-03262,occur,small_molecule-35236
hpo-03264,associate,hpo-03528
hpo-03264,cause,hpo-03925
hpo-03264,cause,small_molecule-11291
hpo-03264,exist,hpo-03262
hpo-03264,mutate,small_molecule-07175
hpo-03264,mutate,small_molecule-10684
hpo-03331,cause,gene-17550
hpo-03404,activate,gene-03090
hpo-03404,affect,hpo-04184
hpo-03404,affect,hpo-12990
hpo-03404,associate,hpo-03634
hpo-03404,conside,hpo-00338
hpo-03404,require,small_molecule-07066
hpo-03404,risk,hpo-03925
hpo-03408,occur,hpo-12932
hpo-03420,affect,hpo-03925
hpo-03420,affect,hpo-13528
hpo-03420,associate,gene-05974
hpo-03420,cause,hpo-03630
hpo-03420,develop,hpo-12949
hpo-03420,feature,hpo-02673
hpo-03420,feature,hpo-06865
hpo-03420,reduce,gene-04392
hpo-03420,reverse,small_molecule-40601
hpo-03421,associate,hpo-03925
hpo-03421,associate,small_molecule-08566
hpo-03421,cause,gene-05708
hpo-03421,cause,gene-05958
hpo-03421,cause,hpo-03324
hpo-03421,cause,hpo-12654
hpo-03421,enhance,gene-01803
hpo-03421,feature,hpo-03420
hpo-03421,feature,hpo-13441
hpo-03421,inhibit,gene-05708
hpo-03421,reduce,gene-05708
hpo-03421,show,disease-4258
hpo-03421,show,hpo-05246
hpo-03421,show,hpo-13303
hpo-03451,observe,gene-01887
hpo-03460,cause,gene-03820
hpo-03460,found,gene-03820
hpo-03461,associate,disease-3681
hpo-03461,associate,hpo-10285
hpo-03461,cause,gene-00554
hpo-03461,cause,gene-03118
hpo-03461,cause,gene-04433
hpo-03461,cause,gene-04434
hpo-03461,cause,hpo-03925
hpo-03461,cause,hpo-08352
hpo-03461,contain,hpo-03751
hpo-03461,contain,hpo-03994
hpo-03461,depend,hpo-13352
hpo-03461,detect,hpo-03528
hpo-03461,develop,hpo-03528
hpo-03461,develop,hpo-03925
hpo-03461,develop,hpo-04198
hpo-03461,develop,hpo-13514
hpo-03461,enhance,small_molecule-12480
hpo-03461,generate,gene-01207
hpo-03461,identifi,hpo-08352
hpo-03461,reduce,disease-3797
hpo-03461,reverse,drug-00380
hpo-03461,show,gene-03639
hpo-03481,associate,hpo-03751
hpo-03481,predict,hpo-12817
hpo-03485,cause,hpo-03925
hpo-03485,mutate,gene-00059
hpo-03492,found,disease-2263
hpo-03504,associate,gene-03640
hpo-03504,identifi,small_molecule-08566
hpo-03514,cause,hpo-03461
hpo-03514,occur,disease-1705
hpo-03515,activate,gene-00531
hpo-03515,cause,hpo-03461
hpo-03528,activate,gene-00175
hpo-03528,activate,gene-01163
hpo-03528,activate,gene-01820
hpo-03528,activate,gene-04075
hpo-03528,activate,gene-04314
hpo-03528,activate,gene-04316
hpo-03528,activate,gene-04421
hpo-03528,affect,hpo-06802
hpo-03528,affect,hpo-13303
hpo-03528,affect,hpo-13348
hpo-03528,affect,small_molecule-00636
hpo-03528,associate,disease-3648
hpo-03528,associate,drug-00095
hpo-03528,associate,drug-13490
hpo-03528,associate,gene-00175
hpo-03528,associate,gene-00176
hpo-03528,associate,gene-01163
hpo-03528,associate,gene-01215
hpo-03528,associate,gene-01252
hpo-03528,associate,gene-02966
hpo-03528,associate,gene-03842
hpo-03528,associate,gene-04314
hpo-03528,associate,gene-05197
hpo-03528,associate,gene-05759
hpo-03528,associate,gene-06733
hpo-03528,associate,gene-08552
hpo-03528,associate,hpo-03634
hpo-03528,associate,hpo-03720
hpo-03528,associate,hpo-03925
hpo-03528,associate,hpo-04198
hpo-03528,associate,hpo-05246
hpo-03528,associate,hpo-06797
hpo-03528,associate,small_molecule-08470
hpo-03528,associate,small_molecule-13163
hpo-03528,associate,small_molecule-16163
hpo-03528,associate,small_molecule-18663
hpo-03528,cause,drug-00612
hpo-03528,cause,gene-02875
hpo-03528,cause,hpo-03925
hpo-03528,cause,hpo-04198
hpo-03528,cause,hpo-12832
hpo-03528,cause,hpo-13303
hpo-03528,cause,small_molecule-08924
hpo-03528,cause,small_molecule-11291
hpo-03528,cause,small_molecule-42326
hpo-03528,change,hpo-04062
hpo-03528,contain,gene-07573
hpo-03528,demonstr,gene-01331
hpo-03528,depend,gene-00159
hpo-03528,develop,gene-03625
hpo-03528,develop,hpo-12817
hpo-03528,develop,hpo-12949
hpo-03528,develop,hpo-13006
hpo-03528,develop,hpo-13303
hpo-03528,develop,small_molecule-09113
hpo-03528,encode,gene-03903
hpo-03528,encode,gene-08980
hpo-03528,enhance,disease-0411
hpo-03528,evalu,gene-06318
hpo-03528,exist,gene-09263
hpo-03528,expression,drug-13490
hpo-03528,expression,gene-00546
hpo-03528,expression,gene-03841
hpo-03528,expression,gene-05195
hpo-03528,expression,gene-05957
hpo-03528,expression,gene-06999
hpo-03528,expression,gene-14892
hpo-03528,expression,protein-03019
hpo-03528,expression,small_molecule-00413
hpo-03528,feature,hpo-03634
hpo-03528,improve,gene-11110
hpo-03528,increase,gene-03468
hpo-03528,increase,gene-03639
hpo-03528,increase,gene-06901
hpo-03528,increase,small_molecule-04844
hpo-03528,increase,small_molecule-06162
hpo-03528,increase,small_molecule-11291
hpo-03528,inhibit,drug-01349
hpo-03528,inhibit,gene-00133
hpo-03528,inhibit,gene-01331
hpo-03528,inhibit,gene-02000
hpo-03528,inhibit,small_molecule-03354
hpo-03528,inhibit,small_molecule-08480
hpo-03528,inhibit,small_molecule-55905
hpo-03528,marker,drug-13490
hpo-03528,marker,gene-03841
hpo-03528,marker,gene-03842
hpo-03528,marker,gene-04366
hpo-03528,marker,gene-04392
hpo-03528,marker,gene-04536
hpo-03528,marker,gene-09402
hpo-03528,marker,gene-19445
hpo-03528,marker,gene-24141
hpo-03528,marker,hpo-04198
hpo-03528,marker,hpo-05246
hpo-03528,marker,hpo-06802
hpo-03528,marker,hpo-13074
hpo-03528,observe,hpo-03925
hpo-03528,observe,small_molecule-17713
hpo-03528,occur,hpo-13303
hpo-03528,patholog,hpo-03925
hpo-03528,predict,hpo-03925
hpo-03528,reduce,drug-00411
hpo-03528,reduce,gene-00476
hpo-03528,reduce,gene-00486
hpo-03528,reduce,gene-04314
hpo-03528,reduce,gene-08577
hpo-03528,reduce,hpo-03925
hpo-03528,reduce,protein-12314
hpo-03528,reduce,small_molecule-00413
hpo-03528,reduce,small_molecule-02136
hpo-03528,reduce,small_molecule-12347
hpo-03528,regulate,gene-00410
hpo-03528,regulate,gene-03004
hpo-03528,regulate,gene-04314
hpo-03528,response,hpo-03925
hpo-03528,response,hpo-13303
hpo-03528,response,small_molecule-01317
hpo-03528,risk,hpo-03420
hpo-03528,risk,hpo-03719
hpo-03528,risk,hpo-03925
hpo-03528,risk,hpo-13006
hpo-03528,serve,hpo-13303
hpo-03528,show,drug-00095
hpo-03528,show,hpo-08548
hpo-03528,show,small_molecule-08924
hpo-03528,stimul,drug-00612
hpo-03528,stimul,gene-00676
hpo-03528,transloc,gene-03762
hpo-03528,transloc,small_molecule-12347
hpo-03528,treat,drug-00168
hpo-03528,treat,drug-01025
hpo-03528,treat,gene-06914
hpo-03528,treat,hpo-03925
hpo-03528,treat,hpo-09564
hpo-03528,treat,hpo-12832
hpo-03528,treat,small_molecule-01707
hpo-03528,treat,small_molecule-10916
hpo-03537,patholog,hpo-03549
hpo-03537,patholog,hpo-10098
hpo-03545,studi,hpo-03726
hpo-03547,develop,hpo-13128
hpo-03547,increase,gene-03468
hpo-03547,increase,gene-03472
hpo-03547,marker,hpo-03925
hpo-03549,abolish,gene-00545
hpo-03549,affect,gene-12489
hpo-03549,associate,gene-02500
hpo-03549,associate,hpo-00016
hpo-03549,cause,drug-00378
hpo-03549,cause,gene-01531
hpo-03549,cause,gene-04551
hpo-03549,cause,gene-12781
hpo-03549,cause,hpo-03634
hpo-03549,cause,hpo-03925
hpo-03549,cause,hpo-13303
hpo-03549,cause,small_molecule-01317
hpo-03549,cause,small_molecule-01494
hpo-03549,cause,small_molecule-02135
hpo-03549,cause,small_molecule-11474
hpo-03549,cause,small_molecule-28593
hpo-03549,develop,hpo-03925
hpo-03549,found,disease-0411
hpo-03549,increase,drug-08804
hpo-03549,increase,gene-05213
hpo-03549,inhibit,gene-17130
hpo-03549,marker,hpo-03925
hpo-03549,phosphorylation,gene-04906
hpo-03549,prevent,gene-03843
hpo-03549,prevent,hpo-03925
hpo-03549,prevent,small_molecule-14351
hpo-03549,reduce,gene-00633
hpo-03549,reduce,gene-10472
hpo-03549,reduce,small_molecule-10051
hpo-03549,reduce,small_molecule-35815
hpo-03549,regulate,gene-02961
hpo-03549,regulate,gene-16101
hpo-03549,require,gene-01630
hpo-03549,reverse,drug-00864
hpo-03549,treat,drug-04379
hpo-03549,treat,hpo-03925
hpo-03575,affect,hpo-03461
hpo-03626,associate,hpo-13528
hpo-03626,cause,hpo-03897
hpo-03626,cause,hpo-03925
hpo-03626,cause,hpo-12834
hpo-03626,mutate,gene-05502
hpo-03626,risk,hpo-03925
hpo-03630,associate,gene-03229
hpo-03630,associate,hpo-03632
hpo-03630,associate,hpo-03925
hpo-03630,associate,hpo-04141
hpo-03630,associate,hpo-13128
hpo-03630,cause,hpo-03910
hpo-03630,cause,hpo-03925
hpo-03630,change,small_molecule-21291
hpo-03630,differenti,hpo-08875
hpo-03630,enhance,small_molecule-07066
hpo-03630,feature,hpo-03925
hpo-03630,show,hpo-03925
hpo-03630,show,hpo-12834
hpo-03632,activate,hpo-03033
hpo-03632,activate,hpo-03925
hpo-03632,associate,drug-00226
hpo-03632,associate,gene-01413
hpo-03632,associate,gene-01779
hpo-03632,associate,gene-01868
hpo-03632,associate,gene-02713
hpo-03632,associate,gene-03044
hpo-03632,associate,gene-03065
hpo-03632,associate,gene-05708
hpo-03632,associate,gene-07313
hpo-03632,associate,gene-07403
hpo-03632,associate,gene-11949
hpo-03632,associate,hpo-00016
hpo-03632,associate,hpo-02571
hpo-03632,associate,hpo-03549
hpo-03632,associate,hpo-03646
hpo-03632,associate,hpo-03858
hpo-03632,associate,hpo-03897
hpo-03632,associate,hpo-03925
hpo-03632,associate,hpo-07332
hpo-03632,associate,hpo-08236
hpo-03632,associate,hpo-12817
hpo-03632,associate,hpo-12819
hpo-03632,associate,protein-04112
hpo-03632,associate,protein-17994
hpo-03632,associate,small_molecule-02516
hpo-03632,associate,small_molecule-24878
hpo-03632,cause,disease-3381
hpo-03632,cause,disease-3797
hpo-03632,cause,gene-01305
hpo-03632,cause,gene-01365
hpo-03632,cause,gene-03229
hpo-03632,cause,gene-03565
hpo-03632,cause,gene-03625
hpo-03632,cause,gene-05708
hpo-03632,cause,gene-20527
hpo-03632,cause,hpo-03634
hpo-03632,cause,hpo-03726
hpo-03632,cause,hpo-03858
hpo-03632,cause,hpo-03925
hpo-03632,cause,hpo-03930
hpo-03632,cause,hpo-04198
hpo-03632,cause,hpo-12857
hpo-03632,cause,hpo-13310
hpo-03632,cause,small_molecule-02847
hpo-03632,cause,small_molecule-08566
hpo-03632,cause,small_molecule-09290
hpo-03632,cause,small_molecule-11291
hpo-03632,change,hpo-03925
hpo-03632,change,small_molecule-11291
hpo-03632,contain,gene-04230
hpo-03632,demonstr,small_molecule-28939
hpo-03632,develop,gene-06310
hpo-03632,develop,hpo-03528
hpo-03632,develop,hpo-03925
hpo-03632,encode,gene-03625
hpo-03632,encode,gene-13341
hpo-03632,expression,drug-00028
hpo-03632,expression,gene-00131
hpo-03632,expression,gene-03842
hpo-03632,expression,gene-04314
hpo-03632,expression,gene-04645
hpo-03632,expression,gene-04737
hpo-03632,expression,gene-05353
hpo-03632,expression,gene-05413
hpo-03632,expression,gene-07313
hpo-03632,expression,protein-03078
hpo-03632,feature,gene-00850
hpo-03632,feature,hpo-03528
hpo-03632,feature,hpo-03721
hpo-03632,feature,hpo-03906
hpo-03632,feature,hpo-03925
hpo-03632,feature,hpo-04198
hpo-03632,feature,hpo-06366
hpo-03632,feature,hpo-08875
hpo-03632,feature,hpo-09329
hpo-03632,found,gene-03304
hpo-03632,generate,gene-05721
hpo-03632,identifi,gene-20527
hpo-03632,identifi,hpo-03891
hpo-03632,improve,hpo-03925
hpo-03632,increase,gene-03815
hpo-03632,increase,hpo-03726
hpo-03632,increase,hpo-03858
hpo-03632,increase,small_molecule-03354
hpo-03632,inhibit,gene-04423
hpo-03632,maintain,gene-24829
hpo-03632,mutate,gene-00892
hpo-03632,mutate,gene-03625
hpo-03632,mutate,gene-05836
hpo-03632,mutate,gene-14869
hpo-03632,mutate,gene-20527
hpo-03632,observe,small_molecule-53024
hpo-03632,occur,small_molecule-02847
hpo-03632,patholog,hpo-03925
hpo-03632,predict,hpo-03925
hpo-03632,prevent,gene-01413
hpo-03632,prevent,gene-05940
hpo-03632,prevent,small_molecule-08470
hpo-03632,protect,hpo-03925
hpo-03632,provid,disease-3797
hpo-03632,reduce,gene-05065
hpo-03632,regulate,gene-03065
hpo-03632,regulate,gene-03201
hpo-03632,regulate,gene-11162
hpo-03632,regulate,gene-25146
hpo-03632,regulate,small_molecule-06162
hpo-03632,regulate,small_molecule-06845
hpo-03632,risk,hpo-03721
hpo-03632,risk,hpo-03858
hpo-03632,risk,hpo-03925
hpo-03632,show,disease-2245
hpo-03632,show,gene-03639
hpo-03632,show,gene-05736
hpo-03632,show,gene-05836
hpo-03632,show,gene-05839
hpo-03632,show,gene-06310
hpo-03632,show,hpo-03640
hpo-03632,show,hpo-03646
hpo-03632,show,hpo-03925
hpo-03632,show,hpo-04198
hpo-03632,show,hpo-06573
hpo-03632,show,hpo-10187
hpo-03632,show,small_molecule-08566
hpo-03632,show,small_molecule-11220
hpo-03632,show,small_molecule-17478
hpo-03632,transloc,gene-05836
hpo-03632,treat,small_molecule-12487
hpo-03632,treat,small_molecule-14421
hpo-03634,act,drug-04379
hpo-03634,act,gene-10161
hpo-03634,act,gene-11834
hpo-03634,activate,gene-01565
hpo-03634,activate,gene-02500
hpo-03634,activate,gene-03403
hpo-03634,activate,gene-16948
hpo-03634,affect,drug-01049
hpo-03634,affect,drug-01259
hpo-03634,affect,drug-04821
hpo-03634,affect,gene-01681
hpo-03634,affect,gene-04536
hpo-03634,affect,gene-05708
hpo-03634,affect,gene-24108
hpo-03634,affect,hpo-13319
hpo-03634,affect,protein-03358
hpo-03634,affect,small_molecule-01707
hpo-03634,affect,small_molecule-02913
hpo-03634,affect,small_molecule-25636
hpo-03634,affect,small_molecule-56959
hpo-03634,associate,disease-4258
hpo-03634,associate,disease-8865
hpo-03634,associate,gene-01331
hpo-03634,associate,gene-04659
hpo-03634,associate,gene-05708
hpo-03634,associate,gene-12317
hpo-03634,associate,gene-13933
hpo-03634,associate,hpo-03528
hpo-03634,associate,hpo-03858
hpo-03634,associate,hpo-03910
hpo-03634,associate,hpo-03925
hpo-03634,associate,hpo-08279
hpo-03634,associate,hpo-12942
hpo-03634,associate,hpo-13528
hpo-03634,associate,small_molecule-03598
hpo-03634,cause,disease-2551
hpo-03634,cause,disease-3381
hpo-03634,cause,gene-01531
hpo-03634,cause,gene-02922
hpo-03634,cause,gene-03625
hpo-03634,cause,gene-03761
hpo-03634,cause,gene-04351
hpo-03634,cause,gene-05230
hpo-03634,cause,gene-09449
hpo-03634,cause,hpo-03528
hpo-03634,cause,hpo-03632
hpo-03634,cause,hpo-03646
hpo-03634,cause,hpo-03858
hpo-03634,cause,hpo-03897
hpo-03634,cause,hpo-03925
hpo-03634,cause,hpo-04198
hpo-03634,cause,hpo-13528
hpo-03634,cause,small_molecule-02847
hpo-03634,cause,small_molecule-08566
hpo-03634,cause,small_molecule-11291
hpo-03634,cause,small_molecule-17713
hpo-03634,change,gene-02115
hpo-03634,change,hpo-03646
hpo-03634,change,hpo-03656
hpo-03634,change,hpo-03858
hpo-03634,consist,protein-08527
hpo-03634,contain,drug-01326
hpo-03634,contain,drug-02210
hpo-03634,contain,drug-13490
hpo-03634,contain,gene-03173
hpo-03634,contain,gene-04175
hpo-03634,contain,gene-04314
hpo-03634,contain,gene-05708
hpo-03634,contain,hpo-03528
hpo-03634,contain,hpo-03858
hpo-03634,contain,hpo-03925
hpo-03634,contain,hpo-13319
hpo-03634,contain,small_molecule-08480
hpo-03634,control,small_molecule-02455
hpo-03634,depend,gene-04645
hpo-03634,develop,gene-03060
hpo-03634,develop,gene-04226
hpo-03634,develop,gene-11689
hpo-03634,develop,hpo-03925
hpo-03634,develop,hpo-13319
hpo-03634,encode,gene-03173
hpo-03634,encode,gene-03639
hpo-03634,encode,gene-03640
hpo-03634,encode,protein-14286
hpo-03634,enhance,hpo-03803
hpo-03634,enhance,hpo-03925
hpo-03634,exist,hpo-13303
hpo-03634,exist,small_molecule-01707
hpo-03634,expression,drug-13490
hpo-03634,expression,gene-00409
hpo-03634,expression,gene-00410
hpo-03634,expression,gene-01890
hpo-03634,expression,gene-05627
hpo-03634,expression,gene-05794
hpo-03634,expression,gene-24094
hpo-03634,expression,gene-28038
hpo-03634,expression,small_molecule-11589
hpo-03634,feature,hpo-00016
hpo-03634,feature,hpo-03528
hpo-03634,feature,hpo-03646
hpo-03634,feature,hpo-03858
hpo-03634,feature,hpo-03925
hpo-03634,increase,drug-01048
hpo-03634,increase,drug-13490
hpo-03634,increase,gene-02500
hpo-03634,increase,hpo-03925
hpo-03634,increase,small_molecule-02965
hpo-03634,increase,small_molecule-09831
hpo-03634,inhibit,drug-05863
hpo-03634,inhibit,drug-10764
hpo-03634,inhibit,gene-02000
hpo-03634,inhibit,gene-02606
hpo-03634,inhibit,gene-04178
hpo-03634,inhibit,gene-04314
hpo-03634,inhibit,hpo-13303
hpo-03634,inhibit,protein-03358
hpo-03634,inhibit,small_molecule-12347
hpo-03634,inhibit,small_molecule-28593
hpo-03634,interact,gene-07745
hpo-03634,maintain,hpo-03925
hpo-03634,marker,drug-13490
hpo-03634,marker,gene-01531
hpo-03634,marker,hpo-03925
hpo-03634,marker,hpo-13303
hpo-03634,marker,small_molecule-01707
hpo-03634,marker,small_molecule-28593
hpo-03634,mutate,gene-03625
hpo-03634,mutate,hpo-03925
hpo-03634,occur,hpo-13226
hpo-03634,occur,hpo-13647
hpo-03634,prevent,drug-00571
hpo-03634,prevent,small_molecule-52410
hpo-03634,production,gene-03332
hpo-03634,reduce,drug-00411
hpo-03634,reduce,hpo-03547
hpo-03634,reduce,hpo-03747
hpo-03634,reduce,hpo-03925
hpo-03634,reduce,small_molecule-00804
hpo-03634,reduce,small_molecule-06649
hpo-03634,reduce,small_molecule-55905
hpo-03634,regulate,gene-00133
hpo-03634,regulate,gene-01163
hpo-03634,regulate,gene-01859
hpo-03634,regulate,gene-05154
hpo-03634,regulate,gene-05168
hpo-03634,regulate,hpo-13265
hpo-03634,regulate,small_molecule-08654
hpo-03634,require,drug-09951
hpo-03634,require,small_molecule-03255
hpo-03634,response,drug-13490
hpo-03634,reverse,drug-11908
hpo-03634,reverse,gene-03037
hpo-03634,reverse,gene-05399
hpo-03634,reverse,gene-10472
hpo-03634,risk,hpo-03858
hpo-03634,risk,hpo-03925
hpo-03634,show,disease-1783
hpo-03634,show,disease-3381
hpo-03634,show,drug-01326
hpo-03634,show,hpo-03925
hpo-03634,show,hpo-08247
hpo-03634,show,small_molecule-17713
hpo-03634,signal,gene-01214
hpo-03634,signal,gene-16948
hpo-03634,stimul,drug-01048
hpo-03634,stimul,gene-05900
hpo-03634,stimul,gene-08570
hpo-03634,stimul,gene-10448
hpo-03634,stimul,protein-03358
hpo-03634,stimul,protein-05108
hpo-03634,stimul,protein-07806
hpo-03634,stimul,small_molecule-01707
hpo-03634,stimul,small_molecule-09831
hpo-03634,stimul,small_molecule-11476
hpo-03634,treat,gene-00778
hpo-03634,treat,gene-05708
hpo-03634,treat,small_molecule-00413
hpo-03634,treat,small_molecule-01707
hpo-03634,treat,small_molecule-17713
hpo-03638,cause,hpo-03549
hpo-03640,associate,disease-1015
hpo-03640,associate,disease-2245
hpo-03640,associate,gene-03640
